run_id,backend,shape,mode,threads,runner_exit_code,parquet_present,setup_parquet_present,summary_present,status,attempted_ops,successful_ops,failed_exception_ops,failed_slow_ops,success_rate,top_failure_category,top_failure_reason
exp3_dolt_fan_out_64t_branch_tpcc,dolt,fan_out,branch,64,0,1,0,1,PARTIAL,4688,2747,0,1941,0.5859641638225256,FAILURE_TIMEOUT,Slow operation: 0.365328s > 0.100000s
exp3_dolt_fan_out_128t_branch_tpcc,dolt,fan_out,branch,128,0,1,0,1,PARTIAL,4676,2560,0,2116,0.5474764756201882,FAILURE_TIMEOUT,Slow operation: 0.599043s > 0.100000s
exp3_dolt_fan_out_256t_branch_tpcc,dolt,fan_out,branch,256,0,1,0,1,PARTIAL,5004,2625,0,2379,0.5245803357314148,FAILURE_TIMEOUT,Slow operation: 0.154295s > 0.100000s
exp3_dolt_fan_out_512t_branch_tpcc,dolt,fan_out,branch,512,0,1,0,1,PARTIAL,5490,2822,0,2668,0.5140255009107468,FAILURE_TIMEOUT,Slow operation: 0.864678s > 0.100000s
exp3_dolt_fan_out_1024t_branch_tpcc,dolt,fan_out,branch,1024,0,1,0,1,PARTIAL,6216,3186,0,3030,0.5125482625482626,FAILURE_TIMEOUT,Slow operation: 0.134189s > 0.100000s
exp3_dolt_fan_out_1t_crud_tpcc,dolt,fan_out,crud,1,0,1,1,1,SUCCESS,4414,4414,0,0,1.0,,
exp3_dolt_fan_out_2t_crud_tpcc,dolt,fan_out,crud,2,0,1,1,1,SUCCESS,7156,7156,0,0,1.0,,
exp3_dolt_fan_out_4t_crud_tpcc,dolt,fan_out,crud,4,0,1,1,1,PARTIAL,9804,9803,0,1,0.9998980008159934,FAILURE_TIMEOUT,Slow operation: 0.100214s > 0.100000s
exp3_dolt_fan_out_8t_crud_tpcc,dolt,fan_out,crud,8,0,1,1,1,SUCCESS,13969,13969,0,0,1.0,,
exp3_dolt_fan_out_16t_crud_tpcc,dolt,fan_out,crud,16,0,1,1,1,PARTIAL,13717,13634,0,83,0.9939491142378071,FAILURE_TIMEOUT,Slow operation: 0.100436s > 0.100000s
exp3_dolt_fan_out_32t_crud_tpcc,dolt,fan_out,crud,32,0,1,1,1,PARTIAL,14316,11138,0,3178,0.7780106174909193,FAILURE_TIMEOUT,Slow operation: 0.122609s > 0.100000s
